dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,merge_step,distance,left_cluster,right_cluster,merged_cluster,kpz_systems_inside,non_kpz_systems_inside
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,3,1.80292,rd,bd/eden/kpz,bd/eden/kpz/rd,bd/eden/kpz,rd
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,2.65034,ew,bd/eden/kpz/rd,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,5,3.38735,ks,bd/eden/ew/kpz/rd,bd/eden/ew/kpz/ks/rd,bd/eden/kpz,ew/ks/rd
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1,0.618114,eden,kpz,eden/kpz,eden/kpz,
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,2,1.22798,bd,eden/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,2.4628,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,4,3.1161,rd,bd/eden/ew/kpz,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1,0.245756,bd,kpz,bd/kpz,bd/kpz,
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,2,0.483217,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,2.31332,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,4,3.51612,ks,bd/eden/ew/kpz,bd/eden/ew/kpz/ks,bd/eden/kpz,ew/ks
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1,0.822516,eden,kpz,eden/kpz,eden/kpz,
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,1.63922,bd,eden/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,3,3.04094,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_exp69_70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,effective_exponent,matched effective exponent geometry,exp69,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1,0.22389,bd,kpz,bd/kpz,bd/kpz,
exponent_exp69_70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,effective_exponent,matched effective exponent geometry,exp69,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,2,0.465637,ew,bd/kpz,bd/ew/kpz,bd/kpz,ew
exponent_exp69_70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,effective_exponent,matched effective exponent geometry,exp69,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,3,0.566195,eden,bd/ew/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
